UUID,No_,No_ 2,Description,Search Description,Description 2,Base Unit of Measure,Price Unit Conversion,Type,Inventory Posting Group,Shelf No_,Item Disc_ Group,Allow Invoice Disc_,Statistics Group,Commission Group,Unit Price,Price_Profit Calculation,Profit _,Costing Method,Unit Cost,Standard Cost,Last Direct Cost,Indirect Cost _,Cost is Adjusted,Allow Online Adjustment,Vendor No_,Vendor Item No_,Lead Time Calculation,Reorder Point,Maximum Inventory,Reorder Quantity,Alternative Item No_,Unit List Price,Duty Due _,Duty Code,Gross Weight,Net Weight,Units per Parcel,Unit Volume,Durability,Freight Type,Tariff No_,Duty Unit Conversion,Country_Region Purchased Code,Budget Quantity,Budgeted Amount,Budget Profit,Blocked,Last Date Modified,Price Includes VAT,VAT Bus_ Posting Gr_ (Price),Gen_ Prod_ Posting Group,Picture,Country_Region of Origin Code,Automatic Ext_ Texts,No_ Series,Tax Group Code,VAT Prod_ Posting Group,Reserve,Global Dimension 1 Code,Global Dimension 2 Code,Stockout Warning,Prevent Negative Inventory,Application Wksh_ User ID,Assembly Policy,GTIN,Default Deferral Template Code,Low-Level Code,Lot Size,Serial Nos_,Last Unit Cost Calc_ Date,Rolled-up Material Cost,Rolled-up Capacity Cost,Scrap _,Inventory Value Zero,Discrete Order Quantity,Minimum Order Quantity,Maximum Order Quantity,Safety Stock Quantity,Order Multiple,Safety Lead Time,Flushing Method,Replenishment System,Rounding Precision,Sales Unit of Measure,Purch_ Unit of Measure,Time Bucket,Reordering Policy,Include Inventory,Manufacturing Policy,Rescheduling Period,Lot Accumulation Period,Dampener Period,Dampener Quantity,Overflow Level,Manufacturer Code,Item Category Code,Created From Nonstock Item,Product Group Code,Service Item Group,Item Tracking Code,Lot Nos_,Expiration Calculation,Special Equipment Code,Put-away Template Code,Put-away Unit of Measure Code,Phys Invt Counting Period Code,Last Counting Period Update,Use Cross-Docking,Next Counting Start Date,Next Counting End Date,WineMS GUID,WineMS Unit of Measure,Excise Type,POS Item,Routing No_,Production BOM No_,Single-Level Material Cost,Single-Level Capacity Cost,Single-Level Subcontrd_ Cost,Single-Level Cap_ Ovhd Cost,Single-Level Mfg_ Ovhd Cost,Overhead Rate,Rolled-up Subcontracted Cost,Rolled-up Mfg_ Ovhd Cost,Rolled-up Cap_ Overhead Cost,Order Tracking Policy,Critical,Common Item No_,Default Variant,Smollan Vendor
385492ca-cacb-11e7-b8e5-0401beb96201,DEFIC,,De Wetshof Finesse Chardonnay,DE WETSHOF FINESSE CHARDONNAY,,B750,0,0,CONSSTOCK,,DW,1,0,0,0,2,27,0,60.50835,0,60.51,0,0,0,DEW001,,,0,0,0,,0,0,,1.3,0,0,0,,,,0,,0,0,0,0,00:00.0,0,,MW,NULL,,0,,,VAT14,1,,,0,0,,0,,,0,0,,1753-01-01 00:00:00.000,0,0,0,0,0,0,0,0,0,,0,0,1,C06X750,C06X750,,0,0,0,,,,0,0,,WINE,0,CHA,,,,,,,,,1753-01-01 00:00:00.000,1,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,00000000-0000-0000-0000-000000000000,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,2017,0
385497f2-cacb-11e7-b8e5-0401beb96201,KCSAB,,Klein Constantia Sauvignon Blanc,KLEIN CONSTANTIA SAUVIGNON BLANC,,B750,0,0,CONSSTOCK,,KC,1,0,0,0,2,27,0,59.65,0,59.65,0,0,0,KLE001,,,0,0,0,,0,0,,1.3,0,0,0,,,,0,,0,0,0,0,00:00.0,0,,MW,NULL,,0,,,VAT14,1,,,0,0,,0,,,0,0,,1753-01-01 00:00:00.000,0,0,0,0,0,0,0,0,0,,0,0,1,C06X750,C06X750,,0,0,0,,,,0,0,,WINE,0,SBL,,,,,,,,,1753-01-01 00:00:00.000,1,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,00000000-0000-0000-0000-000000000000,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,2016,0
38549a36-cacb-11e7-b8e5-0401beb96201,KFPEC,,Ken Forrester Petit Chenin,KEN FORRESTER PETIT CHENIN,,B750,0,0,CONSSTOCK,,KF,1,0,0,0,2,27,0,26.89,0,26.89,0,0,0,FOR001,,,0,0,0,,0,0,,1.3,0,0,0,,,,0,,0,0,0,0,00:00.0,0,,MW,NULL,,0,,,VAT14,1,,,0,0,,0,,,0,0,,1753-01-01 00:00:00.000,0,0,0,0,0,0,0,0,0,,0,0,1,C06X750,C06X750,,0,0,0,,,,0,0,,WINE,0,CHB,,,,,,,,,1753-01-01 00:00:00.000,1,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,00000000-0000-0000-0000-000000000000,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,2017,0
38549c2a-cacb-11e7-b8e5-0401beb96201,KFSAB,,Ken Forrester Reserve Sauvignon Blanc,KEN FORRESTER RESERVE SAUVIGNON BLANC,,B750,0,0,CONSSTOCK,,KF,1,0,0,0,2,27,0,40.02001,0,40.02,0,0,0,FOR001,,,0,0,0,,0,0,,1.3,0,0,0,,,,0,,0,0,0,0,00:00.0,0,,MW,NULL,,0,,,VAT14,1,,,0,0,,0,,,0,0,,1753-01-01 00:00:00.000,0,0,0,0,0,0,0,0,0,,0,0,1,C06X750,C06X750,,0,0,0,,,,0,0,,WINE,0,SBL,,,,,,,,,1753-01-01 00:00:00.000,1,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,00000000-0000-0000-0000-000000000000,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,2017,0
38549e14-cacb-11e7-b8e5-0401beb96201,KFSPH,,Ken Forrester Sparklehorse,KEN FORRESTER SPARKLEHORSE,,B750,0,0,CONSSTOCK,,KF,1,0,0,0,2,27,0,82.89471,0,82.89474,0,0,0,FOR001,,,0,0,0,,0,0,,0.9,0,0,0,,,,0,,0,0,0,0,00:00.0,0,,MW,NULL,,0,,,VAT14,1,,,0,0,,0,,,0,0,,1753-01-01 00:00:00.000,0,0,0,0,0,0,0,0,0,,0,0,1,C06X750,C06X750,,0,0,0,,,,0,0,,WINE,0,MCC,,,,,,,,,1753-01-01 00:00:00.000,1,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,00000000-0000-0000-0000-000000000000,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,2015,0
3854a008-cacb-11e7-b8e5-0401beb96201,LLCHP,,Leopards Leap Chardonnay Pinot Noir,LEOPARDS LEAP CHARDONNAY PINOT NOIR,,B750,0,0,CONSSTOCK,,LL,1,0,0,0,2,27,0,25.60989,0,25.61016,0,0,0,LEO001,,,0,0,0,,0,0,,1.3,0,0,0,,,,0,,0,0,0,0,00:00.0,0,,MW,NULL,,0,,,VAT14,1,,,0,0,,0,,,0,0,,1753-01-01 00:00:00.000,0,0,0,0,0,0,0,0,0,,0,0,1,C06X750,C06X750,,0,0,0,,,,0,0,,WINE,0,WHT,,,,,,,,,1753-01-01 00:00:00.000,1,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,00000000-0000-0000-0000-000000000000,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,2017,0
3854a1f2-cacb-11e7-b8e5-0401beb96201,LLSCHPIN,,Leopards Leap Sparkling Chardonnay Pinot Noir,LEOPARDS LEAP SPARKLING CHARDONNAY PINOT NOIR,,B750,0,0,CONSSTOCK,,LL,1,0,0,0,2,27,0,46.11,0,46.10999,0,0,0,LEO001,,,0,0,0,,0,0,,0.8,0,0,0,,,,0,,0,0,0,0,00:00.0,0,,MW,NULL,,0,,,VAT14,1,,,0,0,,0,,,0,0,,1753-01-01 00:00:00.000,0,0,0,0,0,0,0,0,0,,0,0,1,C06X750,C06X750,,0,0,0,,,,0,0,,WINE,0,SPK,,,,,,,,,1753-01-01 00:00:00.000,1,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,00000000-0000-0000-0000-000000000000,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,NV,0
3854a3c8-cacb-11e7-b8e5-0401beb96201,LMSAB,,La Motte Sauvignon Blanc,LA MOTTE SAUVIGNON BLANC,,B750,0,0,CONSSTOCK,,LM,1,0,0,0,2,25,0,42.43691,0,42.44,0,0,0,LAM001,,,0,0,0,,0,0,,1.3,0,0,0,,,,0,,0,0,0,0,00:00.0,0,,MW,NULL,,0,,,VAT14,1,,,0,0,,0,,,0,0,,1753-01-01 00:00:00.000,0,0,0,0,0,0,0,0,0,,0,0,1,C06X750,C06X750,,0,0,0,,,,0,0,,WINE,0,SBL,,,,,,,,,1753-01-01 00:00:00.000,1,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,00000000-0000-0000-0000-000000000000,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,2017,0
3854a5a8-cacb-11e7-b8e5-0401beb96201,RVCAS,,Rust en Vrede Estate Vineyards Cabernet Sauvignon,RUST EN VREDE ESTATE VINEYARDS CABERNET SAUVIGNON,,B750,0,0,CONSSTOCK,,RV,1,0,0,0,2,19,0,134.43672,0,134.47,0,0,0,RUS003,,,0,0,0,,0,0,,1.3,0,0,0,,,,0,,0,0,0,0,00:00.0,0,,MW,NULL,,0,,,VAT14,1,,,0,0,,0,,,0,0,,1753-01-01 00:00:00.000,0,0,0,0,0,0,0,0,0,,0,0,1,C06X750,C06X750,,0,0,0,,,,0,0,,WINE,0,CAS,,,,,,,,,1753-01-01 00:00:00.000,1,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,00000000-0000-0000-0000-000000000000,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,2015,1
3854a792-cacb-11e7-b8e5-0401beb96201,RVME,,Rust en Vrede Estate Vineyards Merlot,RUST EN VREDE ESTATE VINEYARDS MERLOT,,B750,0,0,CONSSTOCK,,RV,1,0,0,0,2,27,0,124.01557,0,125.18,0,0,0,RUS003,,,0,0,0,,0,0,,1.3,0,0,0,,,,0,,0,0,0,0,00:00.0,0,,MW,NULL,,0,,,VAT14,1,,,0,0,,0,,,0,0,,1753-01-01 00:00:00.000,0,0,0,0,0,0,0,0,0,,0,0,1,C06X750,C06X750,,0,0,0,,,,0,0,,WINE,0,MER,,,,,,,,,1753-01-01 00:00:00.000,1,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,00000000-0000-0000-0000-000000000000,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,2015,1
3854a972-cacb-11e7-b8e5-0401beb96201,SIKAVDS,,Simonsig Kaapse Vonkel Demi Sec,SIMONSIG KAAPSE VONKEL DEMI SEC,,B750,0,0,CONSSTOCK,,SI,1,0,0,0,2,32,0,62.93,0,62.93,0,0,0,SIM001,,,0,0,0,,0,0,,0,0,0,0,,,,0,,0,0,0,0,00:00.0,0,,MW,NULL,,0,,,VAT14,1,,,0,0,,0,,,0,0,,1753-01-01 00:00:00.000,0,0,0,0,0,0,0,0,0,,0,0,1,C06X750,C06X750,,0,0,0,,,,0,0,,WINE,0,MCC,,,,,,,,,1753-01-01 00:00:00.000,1,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,00000000-0000-0000-0000-000000000000,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,2015,0
Go Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
