timestamp,No_,Line No_,Source Type,Source Subtype,Source No_,Source Line No_,Source Document,Location Code,Shelf No_,Bin Code,Zone Code,Item No_,Quantity,Qty_ (Base),Qty_ Outstanding,Qty_ Outstanding (Base),Qty_ to Ship,Qty_ to Ship (Base),Qty_ Picked,Qty_ Picked (Base),Qty_ Shipped,Qty_ Shipped (Base),Unit of Measure Code,Qty_ per Unit of Measure,Variant Code,Description,Description 2,Status,Sorting Sequence No_,Due Date,Destination Type,Destination No_,Cubage,Weight,Shipping Advice,Shipment Date,Completely Picked,Not upd_ by Src_ Doc_ Post_,Posting from Whse_ Ref_,Assemble to Order,Vendor Item No,Checker,Parcel Number,Cage,Date and Time,Complete
0x000000007E935EAE,SH317197,10000,37,1,SO339310,10000,1,JHB-WHSE,,DISPATCH,DISPATCH,LLSCHPIN,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,B750,1.00000000000000000000,NV,Leopard's Leap Sparkling Chardonnay Pinot Noir,LLSCHPIN-NV,0,10000,2017-11-17 00:00:00.000,1,ZMER001,0.00000000000000000000,0.00000000000000000000,0,2017-11-17 00:00:00.000,0,0,0,0,,,,,1753-01-01 00:00:00.000,
0x000000007E935EAF,SH317197,20000,37,1,SO339310,20000,1,JHB-WHSE,,DISPATCH,DISPATCH,SIKAVDS,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,B750,1.00000000000000000000,2015,Simonsig Kaapse Vonkel Demi Sec,SIKAVDS-2015,0,20000,2017-11-17 00:00:00.000,1,ZMER001,0.00000000000000000000,0.00000000000000000000,0,2017-11-17 00:00:00.000,0,0,0,0,,,,,1753-01-01 00:00:00.000,
0x000000007E935EB0,SH317197,30000,37,1,SO339310,30000,1,JHB-WHSE,,DISPATCH,DISPATCH,KFSPH,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,B750,1.00000000000000000000,2015,Ken Forrester Sparklehorse,KFSPH-2015,0,30000,2017-11-17 00:00:00.000,1,ZMER001,0.00000000000000000000,0.00000000000000000000,0,2017-11-17 00:00:00.000,0,0,0,0,,,,,1753-01-01 00:00:00.000,
0x000000007F1A8BB6,SH319252,10000,37,1,SO341521,10000,1,JHB-WHSE,,DISPATCH,DISPATCH,LLCHP,2.00000000000000000000,12.00000000000000000000,2.00000000000000000000,12.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,C06X750,6.00000000000000000000,2017,Leopards Leap Chardonnay Pinot Noir 2017,LLCHP-2016,0,10000,2017-11-20 00:00:00.000,1,MAK024,0.00000000000000000000,0.00000000000000000000,0,2017-11-20 00:00:00.000,0,0,0,0,,,,,1753-01-01 00:00:00.000,
0x000000007F1A8BB7,SH319252,20000,37,1,SO341521,20000,1,JHB-WHSE,,DISPATCH,DISPATCH,KCSAB,2.00000000000000000000,12.00000000000000000000,2.00000000000000000000,12.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,C06X750,6.00000000000000000000,2016,Klein Constantia Sauvignon Blanc 2016,KCSAB-2015,0,20000,2017-11-20 00:00:00.000,1,MAK024,0.00000000000000000000,0.00000000000000000000,0,2017-11-20 00:00:00.000,0,0,0,0,,,,,1753-01-01 00:00:00.000,
0x000000007F1A8BB9,SH319252,30000,37,1,SO341521,30000,1,JHB-WHSE,,DISPATCH,DISPATCH,RVCAS,1.00000000000000000000,6.00000000000000000000,1.00000000000000000000,6.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,C06X750,6.00000000000000000000,2015,Rust en Vrede Estate Vineyards Cabernet Sauv 2015,RVCAS-2014,0,30000,2017-11-20 00:00:00.000,1,MAK024,0.00000000000000000000,0.00000000000000000000,0,2017-11-20 00:00:00.000,0,0,0,0,,,,,1753-01-01 00:00:00.000,
0x000000007F1A8BBA,SH319252,40000,37,1,SO341521,40000,1,JHB-WHSE,,DISPATCH,DISPATCH,LMSAB,4.00000000000000000000,24.00000000000000000000,4.00000000000000000000,24.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,C06X750,6.00000000000000000000,2017,La Motte Sauvignon Blanc 2017,LMSAB-2016,0,40000,2017-11-20 00:00:00.000,1,MAK024,0.00000000000000000000,0.00000000000000000000,0,2017-11-20 00:00:00.000,0,0,0,0,,,,,1753-01-01 00:00:00.000,
0x000000007F1A8BBB,SH319252,50000,37,1,SO341521,50000,1,JHB-WHSE,,DISPATCH,DISPATCH,DEFIC,1.00000000000000000000,6.00000000000000000000,1.00000000000000000000,6.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,C06X750,6.00000000000000000000,2017,De Wetshof Finesse Chardonnay 2017,DEFIC-2016,0,50000,2017-11-20 00:00:00.000,1,MAK024,0.00000000000000000000,0.00000000000000000000,0,2017-11-20 00:00:00.000,0,0,0,0,,,,,1753-01-01 00:00:00.000,
0x000000007F1A8BBC,SH319252,60000,37,1,SO341521,60000,1,JHB-WHSE,,DISPATCH,DISPATCH,RVME,1.00000000000000000000,6.00000000000000000000,1.00000000000000000000,6.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,C06X750,6.00000000000000000000,2015,Rust en Vrede Estate Vineyards Merlot 2015,RVME-2014,0,60000,2017-11-20 00:00:00.000,1,MAK024,0.00000000000000000000,0.00000000000000000000,0,2017-11-20 00:00:00.000,0,0,0,0,,,,,1753-01-01 00:00:00.000,
0x000000007F1A8BBD,SH319252,70000,37,1,SO341521,70000,1,JHB-WHSE,,DISPATCH,DISPATCH,KFSAB,3.00000000000000000000,18.00000000000000000000,3.00000000000000000000,18.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,C06X750,6.00000000000000000000,2017,Ken Forrester Reserve Sauvignon Blanc 2017,KFSAB-2016,0,70000,2017-11-20 00:00:00.000,1,MAK024,0.00000000000000000000,0.00000000000000000000,0,2017-11-20 00:00:00.000,0,0,0,0,,,,,1753-01-01 00:00:00.000,
0x000000007F1A8BBE,SH319252,80000,37,1,SO341521,80000,1,JHB-WHSE,,DISPATCH,DISPATCH,KFPEC,1.00000000000000000000,6.00000000000000000000,1.00000000000000000000,6.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,C06X750,6.00000000000000000000,2017,Ken Forrester Petit Chenin 2017,KFPEC-2016,0,80000,2017-11-20 00:00:00.000,1,MAK024,0.00000000000000000000,0.00000000000000000000,0,2017-11-20 00:00:00.000,0,0,0,0,,,,,1753-01-01 00:00:00.000,
